Category,partner,Domain,Requirement,To B/C
业务驱动型项目,DCGC,CRM,【CRM】附近门店例外营业时间展示,To C
,DCGC,E-Gift Card,【EGC】B2B礼品卡销售体系搭建-企业批量采购场景,To B
,DCGC,Checkout,【Checkout】仅退款-全履约方式,To C
China Project,DCGC,Buyback,【Buyback】促销活动配置优化,To C
,DCGC,Buyback,【Buyback】二手详情页优化,To C
,DCGC,Buyback,【Buyback】同城跨店提货,To C
,DCGC,Rental,,
,DCGC,Community,,To C
,BCP,Assortment,,To B
体验保障,DCGC,Customer service platform,【CSP】系统集成平台,To B
体验洞察,DCGC,,,
数字化能力建设,Digital,Design system,,
,Digital,Design system x AI,,
,Digital,UEMS,,
创新与实验,DCGC,AI平台（小跃）,,
UX Center,UX Center,meeting,内部UXC meeting,
,UX Center,meeting,跨团队 meeting,
,UX Center,Digital meeting,Digital meeting,
,UX Center,Training & Learning,Training & Learning,
,UX Center,On leave,On leave,
武汉ODC,,,,
