项目分类,Domain,需求列表（QDR名称/Jira名）,To B/C
业务驱动型项目,CRM,【CRM】附近门店例外营业时间展示,To C
,E-Gift Card,【EGC】B2B礼品卡销售体系搭建-企业批量采购场景,To B
,Checkout,【Checkout】仅退款-全履约方式,To C
China Project,Buyback,【Buyback】促销活动配置优化,To C
,Buyback,【Buyback】二手详情页优化,To C
,Buyback,【Buyback】同城跨店提货,To C
,Rental,,
,Community,,To C
,Assortment,,To B
体验保障,Customer service platform,【CSP】系统集成平台,To B
体验洞察,,,
数字化能力建设,Design system,,
,Design system AI,,
,UEMS,,
创新与实验,AI平台（小跃）,,
UX Center,meeting,内部UXC meeting,
,meeting,跨团队 meeting,
,Digital meeting,Digital meeting,
,Sharing & Training,Sharing & Training,
,On leave,On leave,
